MEASURE:Migration type,SEX_ABS:Sex,AGE:Age,ASGS_2011:Region,FREQUENCY:Frequency,TIME:Time,Value,Flag Codes:Flags
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2007:2007,800,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2008:2008,740,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2009:2009,730,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2010:2010,680,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2011:2011,740,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2012:2012,740,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2013:2013,720,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2014:2014,650,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2015:2015,640,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2016:2016,730,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2017:2017,700,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2018:2018,780,
1:NOM arrival,1:Males,A59:5 - 9,4:South Australia,A:Annual,2019:2019,760,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2004:2004,1260,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2005:2005,1460,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2006:2006,1810,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2007:2007,1940,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2008:2008,2380,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2009:2009,1820,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2010:2010,1720,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2011:2011,2070,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2012:2012,2330,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2013:2013,2050,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2014:2014,1520,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2015:2015,1430,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2016:2016,1460,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2017:2017,1270,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2018:2018,1110,
1:NOM arrival,1:Males,A59:5 - 9,5:Western Australia,A:Annual,2019:2019,1290,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2004:2004,100,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2005:2005,70,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2006:2006,90,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2007:2007,90,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2008:2008,100,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2009:2009,100,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2010:2010,90,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2011:2011,80,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2012:2012,100,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2013:2013,110,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2014:2014,110,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2015:2015,90,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2016:2016,120,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2017:2017,100,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2018:2018,140,
1:NOM arrival,1:Males,A59:5 - 9,6:Tasmania,A:Annual,2019:2019,160,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2004:2004,90,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2005:2005,90,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2006:2006,120,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2007:2007,110,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2008:2008,100,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2009:2009,120,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2010:2010,110,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2011:2011,130,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2012:2012,180,
1:NOM arrival,1:Males,A59:5 - 9,7:Northern Territory,A:Annual,2013:2013,150,
